EpreuveID,EpreuveDistance,EpreuveType,EpreuveCategorie,EpreuveTour,EpreuveDate,EpreuveHeure
1,50m,nage libre,F,Serie 1,2024-08-03,11:02:51
2,50m,nage libre,F,Serie 2 ,2024-08-03,11:04:59
3,50m,nage libre,F,Serie 3 ,2024-08-03,11:08:20
4,50m,nage libre,F,Serie 4,2024-08-03,11:10:45
5,50m,nage libre,F,Serie 5,2024-08-03,11:12:58
6,50m,nage libre,F,Serie 6,2024-08-03,11:15:54
7,50m,nage libre,F,Serie 7,2024-08-03,11:18:26
8,50m,nage libre,F,Serie 8 ,2024-08-03,11:21:06
9,50m,nage libre,F,Serie 9,2024-08-03,11:23:53
10,50m,nage libre,F,Serie 10,2024-08-03,11:26:24
11,50m,nage libre,F,Demi-finale 1,2024-08-03,20:42:46
12,50m,nage libre,F,Demi-finale 2,2024-08-03,20:49:41
13,50m,nage libre,F,Finale ,2024-08-04,18:34:14
14,50m,nage libre,H,Serie 1,2024-08-01,11:20:55
15,50m,nage libre,H,Serie 2 ,2024-08-01,11:23:03
16,50m,nage libre,H,Serie 3 ,2024-08-01,11:26:14
17,50m,nage libre,H,Serie 4,2024-08-01,11:28:53
18,50m,nage libre,H,Serie 5,2024-08-01,11:31:12
19,50m,nage libre,H,Serie 6,2024-08-01,11:34:10
20,50m,nage libre,H,Serie 7,2024-08-01,11:36:50
21,50m,nage libre,H,Serie 8 ,2024-08-01,11:39:12
22,50m,nage libre,H,Serie 9,2024-08-01,11:42:10
23,50m,nage libre,H,Serie 10,2024-08-01,11:44:20
24,50m,nage libre,H,Demi-finale 1,2024-08-01,20:49:58
25,50m,nage libre,H,Demi-finale 2,2024-08-01,20:55:51
26,50m,nage libre,H,Finale ,2024-08-02,20:35:22
27,100m,papillon,F,Serie 1,2024-07-27,11:04:23
28,100m,papillon,F,Serie 2 ,2024-07-27,11:08:47
29,100m,papillon,F,Serie 3 ,2024-07-27,11:11:43
30,100m,papillon,F,Serie 4,2024-07-27,11:14:42
31,100m,papillon,F,Demi-finale 1,2024-07-27,20:35:16
32,100m,papillon,F,Demi-finale 2,2024-07-27,20:41:06
33,100m,brasse,F,Serie 1,2024-07-28,11:34:05
34,100m,brasse,F,Serie 2 ,2024-07-28,11:37:13
35,100m,brasse,F,Serie 3 ,2024-07-28,11:40:04
36,100m,brasse,F,Serie 4,2024-07-28,11:42:54
37,100m,brasse,F,Serie 5,2024-07-28,11:48:20
38,100m,brasse,F,Demi-finale 1,2024-07-28,21:18:09
39,100m,brasse,F,Demi-finale 2,2024-07-28,21:24:02
40,100m,papillon,F,Finale ,2024-07-28,20:45:44
41,100m,dos,F,Serie 1,2024-07-29,11:18:03
42,100m,dos,F,Serie 2 ,2024-07-29,11:20:57
43,100m,dos,F,Serie 3 ,2024-07-29,11:24:16
44,100m,dos,F,Serie 4,2024-07-29,11:27:09
45,100m,dos,F,Serie 5,2024-07-29,11:30:05
46,100m,dos,F,Demi-finale 1,2024-07-29,21:05:32
47,100m,dos,F,Demi-finale 2,2024-07-29,21:12:22
48,100m,brasse,F,Finale ,2024-07-29,21:38:42
49,100m,nage libre,F,Serie 1,2024-07-30,12:51:37
50,100m,nage libre,F,Serie 2 ,2024-07-30,12:54:14
51,100m,nage libre,F,Serie 3 ,2024-07-30,12:57:21
52,100m,nage libre,F,Serie 4,2024-07-30,13:00:31
53,100m,nage libre,F,Demi-finale 1,2024-07-30,21:37:23
54,100m,nage libre,F,Demi-finale 2,2024-07-30,21:44:06
