NageurID,NageurNom,NageurPrenom,NageurSexe,NageurPays,NageurDateNaissance
1,ANWARI,Fahim,H,AFG,1999-05-05
2,MECA,Kaltra,F,ALB,2008-03-26
3,KOXHAKU,Grisi,H,ALB,2006-03-24
4,SYOUD,Jaouad,H,ALG,1999-09-17
5,MEDJAHED,Nesrine,F,ALG,1999-08-28
6,LIMA,Lia,F,ANG,2001-09-09
7,MASCARENHAS,Henrique,H,ANG,2001-06-21
8,WUILLIEZ,Jadon,H,ANT,2002-06-13
9,SHAW,Ellie,F,ANT,2008-08-10
10,CEBALLOS,Macarena,F,ARG,1995-01-12
11,HEIN,Agostina,F,ARG,2008-04-24
12,SARAVIA,Ulises,H,ARG,2005-10-27
13,MANUCHARYAN,Varsenik,F,ARM,2003-07-11
14,BARSEGHYAN,Artur,H,ARM,2002-03-29
15,CONNOR,Abbey Lee,F,AUS,2005-04-21
16,PERKINS,Alexandria,F,AUS,2000-07-27
17,TITMUS,Ariarne,F,AUS,2000-09-07
18,ARMBRUSTER,Ben,H,AUS,2002-05-10
19,WOODWARD,Bradley,H,AUS,1998-07-05
20,SMITH,Brendon,H,AUS,2000-07-04
21,THROSSELL,Brianna,F,AUS,1996-02-10
22,CAMPBELL,Bronte,F,AUS,1994-05-14
23,MCEVOY,Cameron,H,AUS,1994-05-13
24,WINNINGTON,Elijah,H,AUS,2000-05-05
25,DEKKERS,Elizabeth,F,AUS,2004-05-06
26,RAMSAY,Ella,F,AUS,2004-07-12
27,MCKEON,Emma,F,AUS,1994-05-24
28,SOUTHAM,Flynn,H,AUS,2005-06-05
29,ANDERSON,Iona,F,AUS,2005-10-03
30,COOPER,Isaac,H,AUS,2004-01-07
31,STUBBLETY-COOK,Zac,H,AUS,1999-01-04
32,CARTWRIGHT,Jack,H,AUS,1998-09-22
33,BARCLAY,Jaclyn,F,AUS,2006-12-27
34,PERKINS,Jamie,F,AUS,2005-01-19
35,FORRESTER,Jenna,F,AUS,2003-06-14
36,STRAUCH,Jenna,F,AUS,1997-03-24
37,YONG,Joshua,H,AUS,2001-07-24
38,TAYLOR,Kai,H,AUS,2003-08-18
39,MCKEOWN,Kaylee,F,AUS,2001-07-12
40,CHALMERS,Kyle,H,AUS,1998-06-25
41,PALLISTER,Lani,F,AUS,2002-06-06
42,TEMPLE,Matthew,H,AUS,1999-06-20
43,GIULIANI,Maximillian,H,AUS,2003-07-03
44,HARRIS,Meg,F,AUS,2002-03-07
45,O'CALLAGHAN,Mollie,F,AUS,2004-04-02
46,WUNSCH,Olivia,F,AUS,2006-05-31
47,SHORT,Samuel,H,AUS,2003-09-17
48,WILLIAMSON,Sam,H,AUS,1997-12-19
49,LEE,Se-Bom,H,AUS,2001-06-12
50,JACK,Shayna,F,AUS,1998-11-06
51,NEILL,Thomas,H,AUS,2002-06-09
52,YANG,William,H,AUS,1998-10-11
53,PETRIC,William Campbell,H,AUS,2004-08-03
54,INCERTI,Zac,H,AUS,1996-07-13
55,BAYER,Valentin,H,AUT,1999-12-08
56,BUCHER,Simon,H,AUT,2000-05-23
57,ESPERNBERGER,Martin,H,AUT,2003-12-20
58,GIGLER,Heiko,H,AUT,1996-06-17
59,KREUNDL,Lena,F,AUT,1997-09-19
60,REITSHAMMER,Bernhard,H,AUT,1994-06-17
61,VALIZADA,Ramil,H,AZE,2004-02-16
62,SHEIKHALIZADEHKHANGHAH,Mariam,F,AZE,2004-07-18
63,TAYLOR,Lamar,H,BAH,2003-06-21
64,GIBBS,Rhanishka,F,BAH,2006-04-19
65,ALOBAIDLI,Amani,F,BRN,2006-01-14
66,GHALI,Saud,H,BRN,2004-08-17
67,RAFI,Samiul Islam,H,BAN,2004-10-12
68,KHATUN,Mst Sonia,F,BAN,1999-09-10
69,KIRBY,Jack,H,BAR,2000-07-24
70,ZMUSHKA,Alina,F,BLR,1997-01-05
71,SHYMANOVICH,Ilya,H,BLR,1994-08-02
72,SHKURDAI,Anastasiya,F,BLR,2003-01-03
73,DUMONT,Valentine,F,BEL,2000-07-02
74,HENVEAUX,Lucas,H,BEL,2000-09-25
75,VANOTTERDIJK,Roos,F,BEL,2005-01-07
76,GASPARD,Florine,F,BEL,2001-12-28
77,DOUILLET,Ionnah Eliane,F,BEN,2007-11-28
78,KPADE,Alexis Michel Roger Dodji,H,BEN,2005-11-11
79,TENZIN,Sangay,H,BHU,2003-09-07
80,RIBERA,Maria Jose,F,BOL,1996-10-28
81,NUNEZ,del PRADO Esteban,H,BOL,2004-06-02
82,PUDAR,Lana,F,BIH,2006-01-19
83,LEKIC,Jovan,H,BIH,2003-09-29
84,ROBINSON,Adrian,H,BOT,2000-04-11
85,EGNER,Maxine,F,BOT,2004-07-12
86,DIZOTTI,Beatriz,F,BRA,2000-04-13
87,RONCATTO,Gabrielle,F,BRA,1998-07-19
88,VIEIRA,Ana Carolina,F,BRA,2001-10-24
89,CORREIA,Breno,H,BRA,1999-02-19
90,OLIVEIRA,de MORAES Eduardo,H,BRA,2001-07-02
91,COSTA,Guilherme,H,BRA,1997-03-12
92,MEDEIROS,Giovana,F,BRA,2004-05-14
93,SANTOS,Gabriel,H,BRA,1996-05-04
94,SANTOS,Guilherme,H,BRA,2003-03-01
95,MOTA,Kayky,H,BRA,1999-04-22
96,CHIERIGHINI,Marcelo,H,BRA,1991-01-15
97,COSTA,Maria Fernanda,F,BRA,2002-09-05
98,HEITMANN,Maria Paula,F,BRA,1999-01-31
99,SETIN,SARTORI Murilo,H,BRA,2002-05-18
100,ALBIERO,Nicolas,H,BRA,1999-06-08
101,BALDUCCINI,Stephanie,F,BRA,2004-09-20
102,SCHEFFER,Fernando,H,BRA,1998-04-06
103,WONG,Hayley,F,BRU,2008-05-13
104,CHAN,Zeke,H,BRU,2007-08-30
105,MITSIN,Petar Petrov,H,BUL,2005-08-19
106,MILADINOV,Josif,H,BUL,2003-06-23
107,EPITROPOV,Lyubomir,H,BUL,1999-04-27
108,GEORGIEVA,Gabriela,F,BUL,1997-06-16
109,KOURAOGO,Iman,F,BUR,2006-05-09
110,NAPARE,Souleymane,H,BUR,2003-03-31
111,IRISHURA,Lois Eliora,F,BDI,2010-04-15
112,GANIRA,Belly-Cresus,H,BDI,2000-03-25
113,PINA,Jayla,F,CPV,2004-07-23
114,TATI,Jose,H,CPV,2007-08-30
115,DE LAPPARENT, Antoine,H,CAM,2006-02-19
116,SAKBUN,Apsara Katarina,F,CAM,2001-02-21
117,NGUICHIE KAMSEU KAMOGNE , G. Arm,H,CMR,2007-07-27
118,NGUELO'O,MABEU Grace Manuela,F,CMR,2005-11-08
119,MAC NEIL,Margaret,F,CAN,2000-02-26
120,KHARUN,Ilya,H,CAN,2005-02-07
121,O'CROININ,Emma,F,CAN,2003-05-22
122,ACEVEDO,Javier,H,CAN,1998-01-28
123,KNOX,Finlay,H,CAN,2001-01-08
124,LIENDO,Josh,H,CAN,2002-08-20
125,ANGUS,Sophie,F,CAN,1999-03-12
126,RUCK,Taylor,F,CAN,2000-05-28
127,WOG,Kelsey,F,CAN,1998-09-19
128,HARVEY,Mary-Sophie,F,CAN,1999-08-11
129,BROUSSEAU,Julie,F,CAN,2006-01-09
130,JANSEN,Ella,F,CAN,2005-09-01
131,OLEKSIAK,Penny,F,CAN,2000-06-13
132,MASSE,Kylie,F,CAN,1996-01-18
133,PICKREM,Sydney,F,CAN,1997-05-21
134,SMITH,Rebecca,F,CAN,2000-03-14
135,WILM,Ingrid,F,CAN,1998-06-08
136,JANKOVICS,Tristan,H,CAN,2004-05-10
137,KISIL,Yuri,H,CAN,1995-09-18
138,MCINTOSH,Summer,F,CAN,2006-08-18
139,WIGGINTON,Lorne,H,CAN,2005-10-27
140,AXON,Alex,H,CAN,2003-06-01
