RelaisEquipeID,EpreuveID,Position,Temps,Couloir,Medaille
1,204,1,3:09.28,6,Or
1,205,2,3:10.35,5,Argent
2,204,3,3:10.70,7,Bronze
3,204,4,3:11.28,4,Aucune
3,205,5,3:11.61,3,Aucune
4,203,1,3:11.62,5,Aucune
4,205,6,3:12.18,2,Aucune
5,203,1,3:12.25,4,Aucune
6,203,7,3:12.29,8,Aucune
7,203,2,3:12.49,3,Aucune
7,205,2,3:12.61,5,Aucune
8,203,3,3:12.77,3,Aucune
8,205,3,3:12.94,4,Aucune
9,204,4,3:12.96,6,Aucune
10,203,8,3:13.11,1,Aucune
10,205,5,3:13.15,7,Aucune
11,204,6,3:13.19,2,Aucune
12,203,4,3:14.22,6,Aucune
12,205,5,3:14.68,1,Aucune
13,203,7,3:14.84,1,Aucune
14,204,8,3:14.94,8,Aucune
15,204,6,3:15.41,7,Aucune
16,204,7,3:15.71,8,Aucune
16,205,8,3:17.47,2,Aucune
17,207,1,3:27.46,5,Or
17,208,2,3:28.01,3,Argent
18,206,3,3:28.38,4,Bronze
19,207,1,3:28.92,4,Or
19,208,4,3:29.60,2,Aucune
20,206,2,3:30.20,5,Argent
20,208,3,3:30.30,3,Bronze
21,207,5,3:31.27,1,Aucune
22,206,1,3:31.36,5,Aucune
22,208,1,3:31.57,4,Aucune
23,207,2,3:31.58,4,Aucune
23,208,1,3:31.62,4,Aucune
24,206,3,3:31.80,3,Aucune
24,208,6,3:31.86,7,Aucune
25,207,2,3:32.13,3,Aucune
26,207,3,3:32.24,5,Aucune
27,206,4,3:32.33,2,Aucune
28,207,7,3:32.46,8,Aucune
29,206,4,3:32.51,6,Aucune
29,208,8,3:32.52,6,Aucune
30,206,5,3:32.71,6,Aucune
31,206,4,3:32.99,7,Aucune
32,207,1,3:33.29,4,Aucune
32,208,5,3:33.70,7,Aucune
33,216,5,3:33.79,6,Aucune
33,217,6,3:33.81,8,Aucune
34,216,6,3:34.03,1,Aucune
35,216,2,3:34.31,5,Aucune
36,216,3,3:34.35,3,Aucune
36,217,7,3:34.68,1,Aucune
37,215,7,3:34.84,2,Aucune
38,215,6,3:34.99,2,Aucune
38,217,4,3:35.25,2,Aucune
39,216,7,3:35.25,1,Aucune
39,217,5,3:35.29,6,Aucune
40,215,2,3:36.13,5,Aucune
40,217,3,3:36.28,6,Aucune
41,216,8,3:36.51,8,Aucune
42,215,4,3:36.78,3,Aucune
42,217,6,3:37.33,1,Aucune
43,216,1,3:37.43,4,Or
44,215,2,3:37.55,3,Argent
44,217,8,3:38.74,8,Aucune
45,215,3,3:38.76,5,Bronze
45,217,5,3:39.52,1,Aucune
46,216,7,3:40.60,7,Aucune
47,215,6,3:40.67,2,Aucune
48,215,4,3:40.96,1,Aucune
48,217,1,3:40.98,5,Aucune
49,198,8,3:41.29,8,Aucune
49,199,5,3:41.41,7,Aucune
50,198,1,3:41.42,4,Aucune
51,198,2,3:42.26,4,Aucune
51,199,7,3:42.42,7,Aucune
52,198,8,3:42.67,8,Aucune
52,199,6,3:43.12,6,Aucune
53,197,2,3:43.60,5,Aucune
54,198,3,3:43.73,3,Aucune
54,199,3,3:43.87,3,Aucune
55,197,4,3:43.99,7,Aucune
55,199,5,3:44.25,6,Aucune
56,197,7,3:44.31,2,Aucune
57,198,4,3:44.75,6,Aucune
58,197,8,3:45.17,8,Aucune
59,197,6,3:45.33,8,Aucune
59,199,5,3:45.80,7,Aucune
60,197,7,3:46.15,2,Aucune
61,197,8,3:46.40,1,Aucune
62,198,6,3:48.19,2,Aucune
63,198,7,3:48.78,1,Aucune
63,199,1,3:49.63,6,Or
64,197,2,3:53.11,4,Argent
64,199,3,3:53.23,3,Bronze
65,200,4,3:53.91,5,Aucune
65,202,1,3:54.81,4,Aucune
66,201,1,3:56.10,5,Aucune
66,202,5,3:56.17,2,Aucune
67,200,6,3:56.29,1,Aucune
67,202,2,3:56.34,5,Aucune
68,200,2,3:56.40,4,Aucune
69,200,3,3:56.52,6,Aucune
69,202,7,3:56.92,7,Aucune
70,201,8,3:57.27,8,Aucune
71,200,4,3:57.33,3,Aucune
72,200,3,3:57.40,6,Aucune
73,201,4,3:57.48,3,Aucune
74,201,5,3:58.12,7,Aucune
75,201,5,3:58.34,2,Aucune
75,202,8,3:59.52,8,Aucune
76,200,6,4:00.12,1,Aucune
76,202,6,4:00.94,2,Aucune
77,200,7,4:03.56,1,Aucune
78,201,7,4:05.58,8,Aucune
79,201,1,6:59.43,4,Or
79,202,2,7:00.78,5,Argent
80,201,3,7:01.98,6,Bronze
80,202,4,7:04.37,7,Aucune
81,213,5,7:04.80,3,Aucune
81,214,1,7:05.11,4,Aucune
82,212,1,7:05.57,4,Aucune
82,214,2,7:05.61,3,Aucune
83,213,2,7:05.63,3,Aucune
83,214,3,7:06.20,6,Aucune
84,213,6,7:07.26,1,Aucune
84,214,7,7:07.48,8,Aucune
85,213,3,7:07.72,5,Aucune
86,212,4,7:07.96,5,Aucune
87,212,5,7:08.43,7,Aucune
87,214,5,7:08.43,2,Aucune
88,212,4,7:08.63,6,Aucune
89,213,8,7:09.56,2,Aucune
89,214,5,7:09.60,7,Aucune
90,213,9,7:10.22,0,Aucune
91,213,6,7:10.26,2,Aucune
92,212,7,7:11.62,1,Aucune
93,213,7,7:12.07,8,Aucune
94,212,8,7:16.61,1,Aucune
94,214,8,7:18.06,8,Aucune
95,212,1,7:38.08,4,Or
96,212,2,7:40.86,6,Argent
96,214,3,7:42.34,3,Bronze
97,209,1,7:45.63,4,Aucune
97,211,4,7:46.05,7,Aucune
98,209,5,7:48.23,1,Aucune
99,209,6,7:50.52,5,Aucune
99,211,2,7:52.25,2,Aucune
100,210,3,7:52.36,5,Aucune
100,211,1,7:52.72,4,Aucune
101,210,2,7:52.81,3,Aucune
101,211,7,7:52.90,2,Aucune
102,210,4,7:53.03,3,Aucune
102,211,3,7:53.49,5,Aucune
103,209,4,7:54.37,6,Aucune
104,210,5,7:55.29,1,Aucune
105,210,5,7:55.57,1,Aucune
106,209,8,7:55.89,8,Aucune
