NageurID,EpreuveID,Position,Temps,Couloir,Medaille
1,16,8,27.14,1,Aucune
2,95,4,2:12.21,6,Aucune
3,76,5,52.32,7,Aucune
4,160,6,1:59.41,1,Aucune
4,162,8,2:00.13,8,Aucune
5,50,8,57.34,8,Aucune
6,109,7,2:22.19,1,Aucune
7,76,7,52.52,3,Aucune
8,58,2,1:02.70,6,Aucune
9,33,3,1:14.78,3,Aucune
10,36,6,1:06.89,8,Aucune
10,103,7,2:26.55,8,Aucune
10,39,8,1:07.31,8,Aucune
11,164,2,4:14.24,5,Aucune
11,181,7,8:37.43,1,Aucune
12,66,8,55.03,8,Aucune
13,27,3,1:01.24,6,Aucune
14,78,7,51.54,2,Aucune
15,109,2,2:07.13,3,Aucune
15,111,3,2:07.10,5,Aucune
15,119,7,2:08.15,1,Aucune
16,29,3,57.46,6,Aucune
16,31,7,57.84,6,Aucune
17,100,1,1:54.64,5,Aucune
17,167,1,3:57.49,5,Or
17,98,2,1:56.23,4,Aucune
17,101,2,1:53.81,4,Argent
17,166,2,4:02.46,4,Aucune
17,182,2,8:12.29,3,Argent
17,181,3,8:19.87,5,Aucune
18,22,2,21.86,8,Aucune
18,91,5,51.33,1,Aucune
18,93,6,51.17,7,Aucune
18,24,7,21.94,6,Aucune
19,136,7,2:00.50,3,Aucune
19,69,8,54.34,1,Aucune
20,178,7,4:14.36,2,Aucune
23,23,1,21.32,4,Aucune
23,25,1,21.38,4,Aucune
23,26,1,21.25,5,Or
24,175,2,3:44.87,5,Aucune
24,176,2,3:42.21,6,Argent
24,186,2,7:42.86,3,Aucune
24,187,8,7:48.36,6,Aucune
25,107,2,2:08.97,4,Aucune
25,110,3,2:06.17,6,Aucune
25,119,4,2:07.11,6,Aucune
26,128,0,0,8,Aucune
26,123,3,2:10.75,6,Aucune
26,126,3,2:10.16,3,Aucune
26,169,3,4:39.04,7,Aucune
26,104,5,2:25.61,6,Aucune
26,170,5,4:38.01,7,Aucune
26,105,6,2:24.56,1,Aucune
27,28,2,56.79,5,Aucune
27,32,4,56.74,3,Aucune
27,40,6,56.93,7,Aucune
29,44,2,59.37,5,Aucune
29,47,3,58.63,6,Aucune
29,55,5,58.98,6,Aucune
30,68,7,54.21,1,Aucune
31,145,1,2:09.49,4,Aucune
31,147,1,2:08.57,4,Aucune
31,155,2,2:06.79,5,Argent
33,113,5,2:10.53,5,Aucune
34,165,3,4:03.30,2,Aucune
34,167,8,4:04.96,2,Aucune
35,169,5,4:40.55,5,Aucune
36,34,1,1:07.27,4,Aucune
36,103,2,2:24.38,3,Aucune
36,105,5,2:24.05,6,Aucune
37,59,3,59.75,1,Aucune
37,144,4,2:10.68,3,Aucune
37,147,5,2:09.89,1,Aucune
37,62,6,59.64,7,Aucune
37,155,8,2:11.44,8,Aucune
39,44,1,58.48,4,Aucune
39,47,1,57.99,5,Aucune
39,55,1,57.33,5,Or
39,115,1,2:08.89,4,Aucune
39,117,1,2:07.57,5,Aucune
39,120,1,2:03.73,5,Or
39,125,3,2:11.26,4,Aucune
39,128,3,2:08.08,1,Bronze
39,127,5,2:09.97,2,Aucune
40,83,1,48.07,5,Aucune
40,84,1,47.58,3,Aucune
40,86,2,47.48,5,Argent
41,190,0,0,3,Aucune
41,180,1,8:20.21,5,Aucune
41,182,6,8:21.09,6,Aucune
42,90,2,50.89,5,Aucune
42,93,4,50.95,6,Aucune
42,94,7,51.1,1,Aucune
42,151,7,1:57.39,1,Aucune
43,130,1,1:46.15,5,Aucune
43,134,3,1:45.37,3,Aucune
43,141,7,1:45.57,2,Aucune
44,9,2,24.5,3,Aucune
44,13,2,23.97,7,Argent
44,12,3,24.33,3,Aucune
45,51,1,53.27,4,Aucune
45,54,1,52.75,3,Aucune
45,97,1,1:55.79,4,Aucune
45,101,1,1:53.27,5,Or
45,100,2,1:54.70,4,Aucune
45,56,4,52.34,3,Aucune
47,174,2,3:44.88,4,Aucune
47,186,3,7:46.83,4,Aucune
47,176,4,3:42.64,2,Aucune
47,194,7,14:58.15,5,Aucune
48,59,8,1:00.50,3,Aucune
49,135,1,1:58.30,4,Aucune
50,8,1,24.38,4,Aucune
50,51,2,53.4,5,Aucune
50,53,2,52.72,3,Aucune
50,11,3,24.29,5,Aucune
50,56,5,52.72,5,Aucune
50,13,8,24.39,2,Aucune
51,132,5,1:46.27,2,Aucune
51,134,5,1:46.18,2,Aucune
51,160,5,1:59.13,2,Aucune
51,161,7,1:58.77,1,Aucune
52,83,7,48.46,8,Aucune
52,84,8,48.42,8,Aucune
53,159,6,1:58.84,2,Aucune
53,161,6,1:58.13,7,Aucune
53,177,6,4:13.58,1,Aucune
56,90,4,51.55,7,Aucune
56,93,7,51.35,1,Aucune
57,151,3,1:55.19,2,Aucune
57,154,4,1:54.62,3,Aucune
57,156,6,1:54.17,8,Aucune
59,122,2,2:15.04,4,Aucune
60,65,4,55.13,6,Aucune
60,60,6,59.68,8,Aucune
60,63,8,1:00.18,7,Aucune
61,149,2,1:59.77,5,Aucune
62,6,3,26.76,5,Aucune
63,78,1,48.84,5,Aucune
64,7,6,26.27,7,Aucune
65,42,6,1:04.27,8,Aucune
66,143,3,2:22.51,3,Aucune
67,75,5,53.1,6,Aucune
68,3,6,30.52,6,Aucune
69,78,3,50.42,4,Aucune
70,38,2,1:05.93,2,Aucune
70,36,4,1:06.37,1,Aucune
70,102,7,2:28.19,7,Aucune
70,48,8,1:06.54,2,Aucune
71,60,2,59.25,7,Aucune
71,63,6,59.45,5,Aucune
72,114,3,2:09.64,7,Aucune
72,117,5,2:08.79,6,Aucune
72,45,7,1:00.94,1,Aucune
72,120,8,2:10.23,8,Aucune
73,97,4,1:57.50,2,Aucune
73,165,6,4:08.25,1,Aucune
73,99,7,1:57.50,7,Aucune
74,132,2,1:46.04,8,Aucune
74,183,3,7:51.51,7,Aucune
74,134,6,1:46.20,5,Aucune
74,174,7,3:46.76,2,Aucune
75,44,4,59.68,7,Aucune
75,30,5,57.54,7,Aucune
75,32,5,57.25,7,Aucune
75,47,5,59.86,2,Aucune
76,8,7,24.69,7,Aucune
76,11,8,24.82,1,Aucune
77,5,5,27.64,2,Aucune
78,64,2,57.61,3,Aucune
79,74,3,56.08,3,Aucune
80,7,4,26.07,3,Aucune
81,157,3,2:08.10,5,Aucune
