RelaisEquipeID,RelaisEquipePays
1,AUS
2,BRA
3,CAN
4,CHN
5,ESP
6,FRA
7,GBR
8,GER
9,GRE
10,HUN
11,ISR
12,ITA
13,POL
14,SRB
15,SWE
16,USA
17,AUS
18,AUT
19,CAN
20,CHN
21,ESP
22,FRA
23,GBR
24,GER
25,IRL
26,ITA
27,JPN
28,KOR
29,NED
30,POL
31,SUI
32,USA
33,AUS
34,BRA
35,CAN
36,CHN
37,ESP
38,FRA
39,GBR
40,GER
41,GRE
42,ISR
43,ITA
44,JPN
45,KOR
46,LTU
47,SUI
48,USA
49,AUS
50,BRA
51,CAN
52,CHN
53,DEN
54,FRA
55,GBR
56,HKG
57,HUN
58,IRL
59,ITA
60,NED
61,POL
62,SLO
63,SWE
64,USA
65,AUS
66,CAN
67,CHN
68,DEN
69,FRA
70,GBR
71,GER
72,HKG
73,IRL
74,ITA
75,JPN
76,NED
77,POL
78,SGP
79,SWE
80,USA
81,AUS
82,BRA
83,CAN
84,CHN
85,ESP
86,FRA
87,GBR
88,GER
89,HUN
90,ISR
91,ITA
92,JPN
93,NED
94,NZL
95,TUR
96,USA
97,AUS
98,BRA
99,CAN
100,CHN
101,FRA
102,GBR
103,GER
104,GRE
105,ISR
106,ITA
107,JPN
108,KOR
109,NED
110,POL
111,SWE
112,USA
